2025-08-10 10:54:48.854 [main] INFO  [] [] c.g.service.impl.DeviceSimulationServiceImpl - Initializing simulated devices...
2025-08-10 10:54:49.055 [scheduling-1] WARN  [] [] c.greenhouse.service.impl.ScheduledTaskServiceImpl - No environment data available for alert detection
2025-08-10 10:54:49.102 [main] WARN  [] [] com.greenhouse.service.impl.DeviceServiceImpl - 设备更新失败: HEATER_001
2025-08-10 10:54:49.107 [scheduling-1] WARN  [] [] c.greenhouse.service.impl.ScheduledTaskServiceImpl - No environment data available for automatic control
2025-08-10 10:54:49.133 [main] INFO  [] [] com.greenhouse.service.impl.DeviceServiceImpl - 设备添加成功: HEATER_002
2025-08-10 10:54:49.153 [main] WARN  [] [] com.greenhouse.service.impl.DeviceServiceImpl - 设备更新失败: COOLER_001
2025-08-10 10:54:49.165 [main] WARN  [] [] com.greenhouse.service.impl.DeviceServiceImpl - 设备更新失败: HUMIDIFIER_001
2025-08-10 10:54:49.179 [main] WARN  [] [] com.greenhouse.service.impl.DeviceServiceImpl - 设备更新失败: DEHUMIDIFIER_001
2025-08-10 10:54:49.190 [main] WARN  [] [] com.greenhouse.service.impl.DeviceServiceImpl - 设备更新失败: FAN_001
2025-08-10 10:54:49.202 [main] WARN  [] [] com.greenhouse.service.impl.DeviceServiceImpl - 设备更新失败: FAN_002
2025-08-10 10:54:49.215 [main] INFO  [] [] com.greenhouse.service.impl.DeviceServiceImpl - 设备添加成功: FAN_003
2025-08-10 10:54:49.228 [main] WARN  [] [] com.greenhouse.service.impl.DeviceServiceImpl - 设备更新失败: LIGHT_001
2025-08-10 10:54:49.239 [main] WARN  [] [] com.greenhouse.service.impl.DeviceServiceImpl - 设备更新失败: LIGHT_002
2025-08-10 10:54:49.253 [main] WARN  [] [] com.greenhouse.service.impl.DeviceServiceImpl - 设备更新失败: IRRIGATION_001
2025-08-10 10:54:49.265 [main] INFO  [] [] com.greenhouse.service.impl.DeviceServiceImpl - 设备添加成功: IRRIGATION_002
2025-08-10 10:54:49.288 [main] INFO  [] [] c.g.service.impl.DeviceSimulationServiceImpl - Successfully initialized 12 simulated devices
2025-08-10 10:54:49.290 [main] INFO  [] [] c.g.service.impl.DeviceSimulationServiceImpl - Started automatic device control
2025-08-10 10:54:49.290 [main] INFO  [] [] c.greenhouse.service.impl.ScheduledTaskServiceImpl - All scheduled tasks started
2025-08-10 10:58:49.087 [scheduling-1] INFO  [] [] c.g.service.impl.DeviceSimulationServiceImpl - CO2 level too low (344.02 ppm), reduced ventilation
2025-08-10 10:59:48.905 [scheduling-1] INFO  [] [] com.greenhouse.service.impl.AlertServiceImpl - 触发环境报警: 类型=TEMPERATURE, 参数值=42.88, 阈值=35.0, 级别=CRITICAL
2025-08-10 10:59:48.912 [scheduling-1] WARN  [] [] c.greenhouse.service.impl.ScheduledTaskServiceImpl - Critical high temperature alert: 42.88°C
2025-08-10 11:00:48.875 [scheduling-1] INFO  [] [] com.greenhouse.service.impl.AlertServiceImpl - 触发环境报警: 类型=TEMPERATURE, 参数值=42.14, 阈值=35.0, 级别=CRITICAL
2025-08-10 11:00:48.904 [scheduling-1] WARN  [] [] c.greenhouse.service.impl.ScheduledTaskServiceImpl - Critical high temperature alert: 42.14°C
2025-08-10 11:00:48.958 [scheduling-1] INFO  [] [] c.g.service.impl.DeviceSimulationServiceImpl - Temperature too high (42.14°C), started cooling
2025-08-10 11:00:49.084 [scheduling-1] INFO  [] [] c.g.service.impl.DeviceSimulationServiceImpl - CO2 level too low (300.0 ppm), reduced ventilation
2025-08-10 11:01:48.881 [scheduling-1] INFO  [] [] com.greenhouse.service.impl.AlertServiceImpl - 触发环境报警: 类型=TEMPERATURE, 参数值=41.85, 阈值=35.0, 级别=CRITICAL
2025-08-10 11:01:48.890 [scheduling-1] WARN  [] [] c.greenhouse.service.impl.ScheduledTaskServiceImpl - Critical high temperature alert: 41.85°C
2025-08-10 11:02:48.868 [scheduling-1] INFO  [] [] com.greenhouse.service.impl.AlertServiceImpl - 触发环境报警: 类型=TEMPERATURE, 参数值=41.55, 阈值=35.0, 级别=CRITICAL
2025-08-10 11:02:48.894 [scheduling-1] WARN  [] [] c.greenhouse.service.impl.ScheduledTaskServiceImpl - Critical high temperature alert: 41.55°C
2025-08-10 11:02:48.946 [scheduling-1] INFO  [] [] c.g.service.impl.DeviceSimulationServiceImpl - Temperature too high (41.55°C), started cooling
